Date,Dividends
2003-11-03,0.359
2003-12-01,0.272
2003-12-31,0.291
2004-02-02,0.278
2004-03-01,0.246
2004-04-01,0.26
2004-05-03,0.27
2004-06-01,0.317
2004-07-01,0.317
2004-08-02,0.322
2004-09-01,0.318
2004-10-01,0.317
2004-11-01,0.279
2004-12-01,0.308
2004-12-31,0.304
2005-02-01,0.309
2005-03-01,0.287
2005-04-01,0.343
2005-05-02,0.334
2005-06-01,0.348
2005-07-01,0.333
2005-08-01,0.331
2005-09-01,0.34
2005-10-03,0.337
2005-11-01,0.364
2005-12-01,0.379
2005-12-28,0.384
2006-02-01,0.371
2006-03-01,0.373
2006-04-03,0.383
2006-05-01,0.375
2006-06-01,0.383
2006-07-03,0.388
2006-08-01,0.409
2006-09-01,0.393
2006-10-02,0.414
2006-11-01,0.422
2006-12-01,0.398
2006-12-27,0.369
2007-02-01,0.393
2007-03-01,0.394
2007-04-02,0.389
2007-05-01,0.382
2007-06-01,0.428
2007-07-02,0.421
2007-08-01,0.431
2007-09-04,0.429
2007-10-01,0.414
2007-11-01,0.417
2007-12-03,0.407
2007-12-27,0.409
2008-02-01,0.415
2008-03-03,0.383
2008-04-01,0.415
2008-05-01,0.326
2008-06-02,0.394
2008-07-01,0.384
2008-08-01,0.402
2008-09-02,0.394
2008-10-01,0.39
2008-11-03,0.4
2008-12-01,0.403
2008-12-29,0.376
2009-02-02,0.366
2009-03-02,0.327
2009-04-01,0.351
2009-05-01,0.329
2009-06-01,0.308
2009-07-01,0.342
2009-08-03,0.334
2009-09-01,0.332
2009-10-01,0.342
2009-11-02,0.324
2009-12-01,0.353
2009-12-29,0.302
2010-02-01,0.327
2010-03-01,0.323
2010-04-01,0.321
2010-05-03,0.312
2010-06-01,0.324
2010-07-01,0.314
2010-08-02,0.294
2010-09-01,0.298
2010-10-01,0.265
2010-11-01,0.276
2010-12-01,0.553
2010-12-28,0.344
2011-02-01,0.316
2011-03-01,0.285
2011-04-01,0.313
2011-05-02,0.316
2011-06-01,0.313
2011-07-01,0.304
2011-08-01,0.3
2011-09-01,0.232
2011-10-03,0.219
2011-11-01,0.287
2011-12-01,0.578
2011-12-27,0.028
2012-02-01,0.275
2012-03-01,0.277
2012-04-02,0.243
2012-05-01,0.23
2012-06-01,0.238
2012-07-02,0.223
2012-08-01,0.22
2012-09-04,0.219
2012-10-01,0.207
2012-11-01,0.243
2012-12-03,0.666
2012-12-26,0.23
2013-02-01,0.211
2013-03-01,0.209
2013-04-01,0.26
2013-05-01,0.202
2013-06-03,0.195
2013-07-01,0.198
2013-08-01,0.205
2013-09-03,0.198
2013-10-01,0.191
2013-11-01,0.19
2013-12-02,0.203
2013-12-26,0.21
2014-02-03,0.206
2014-03-03,0.2
2014-04-01,0.205
2014-05-01,0.198
2014-06-02,0.207
2014-07-01,0.196
2014-08-01,0.2
2014-09-02,0.195
2014-10-01,0.189
2014-11-03,0.192
2014-12-01,0.282
2014-12-24,0.369
2015-02-02,0.176
2015-03-02,0.186
2015-04-01,0.211
2015-05-01,0.206
2015-06-01,0.206
2015-07-01,0.216
2015-08-03,0.213
2015-09-01,0.222
2015-10-01,0.205
2015-11-02,0.215
2015-12-01,0.37
2015-12-24,0.222
2016-02-01,0.228
2016-03-01,0.221
2016-04-01,0.222
2016-05-02,0.205
2016-06-01,0.218
2016-07-01,0.212
2016-08-01,0.207
2016-09-01,0.208
2016-10-03,0.203
2016-11-01,0.21
2016-12-01,0.204
2016-12-22,0.249
2017-02-01,0.218
2017-03-01,0.22
2017-04-03,0.222
2017-05-01,0.239
2017-06-01,0.23
2017-07-03,0.225
2017-08-01,0.23
2017-09-01,0.23
2017-10-02,0.227
2017-11-01,0.228
2017-12-01,0.231
2017-12-21,0.036
2018-02-01,0.242
2018-03-01,0.235
2018-04-02,0.243
2018-05-01,0.24
2018-06-01,0.249
2018-07-02,0.229
2018-08-01,0.251
2018-09-04,0.232
2018-10-01,0.252
2018-11-01,0.513
2018-12-03,0.251
2018-12-18,0.21
2019-02-01,0.268
2019-03-01,0.267
2019-04-01,0.262
2019-05-01,0.26
2019-06-03,0.26
2019-07-01,0.252
2019-08-01,0.26
2019-09-03,0.263
2019-10-01,0.255
2019-11-01,0.251
2019-12-02,0.246
2019-12-19,0.191
2020-02-03,0.243
