Symbol|Security|GICS Sector|GICS Sub-Industry|Founded|from1|to1|from2|to2|from3|to3
NFLX|Netflix Inc.|Communication Services|Movies & Entertainment|1997|2010-12-20|||||
NFX|Newfield Exploration||||2010-12-17|2019-02-15||||
NI|NiSource Inc.|Utilities|Multi-Utilities|1912||||||
NKE|Nike, Inc.|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1964|1988-11-30|||||
NKTR|Nektar Therapeutics||||2018-03-19|2019-10-03||||
NLOK|NortonLifeLock|Information Technology|Application Software|1982|2003-03-25|||||
NLSN|Nielsen Holdings|Industrials|Research & Consulting Services|1923|2013-07-09|||||
NOC|Northrop Grumman|Industrials|Aerospace & Defense|1994|1985-06-30|||||
NOV|NOV Inc.|Energy|Oil & Gas Equipment & Services|1841|2005-03-14|||||
NOVL|Novell, Inc.|||||2011-04-27||||
NOW|ServiceNow|Information Technology|Systems Software|2003|2019-11-21|||||
NRG|NRG Energy|Utilities|Independent Power Producers & Energy Traders|1992|2010-01-29|||||
NSC|Norfolk Southern Corp.|Industrials|Railroads|1894|1957-03-04|||||
NSM|National Semiconductor Corp.|||||2011-09-23||||
NTAP|NetApp|Information Technology|Technology Hardware, Storage & Peripherals|1992|1999-06-25|||||
NTRS|Northern Trust Corp.|Financials|Asset Management & Custody Banks|1889||||||
NUE|Nucor Corp.|Materials|Steel|1940|1985-04-30|||||
NVDA|Nvidia Corporation|Information Technology|Semiconductors|1993|2001-11-30|||||
NVLS|Novellus Systems|||||2012-06-05||||
NVR|NVR, Inc.|Consumer Discretionary|Homebuilding|1980|2019-09-26|||||
NWL|Newell Brands|Consumer Discretionary|Housewares & Specialties|1903|1989-04-30|||||
NWS|News Corp (Class B)|Communication Services|Publishing|2013|2015-09-18|||||
NWSA|News Corp (Class A)|Communication Services|Publishing|2013|2013-08-01|||||
NXPI|NXP Semiconductors|Information Technology|Semiconductors|1953|2021-03-22|||||
NYT|The New York Times Co.|||||2010-12-17||||
NYX|NYSE Euronext|||||2013-11-13||||
O|Realty Income Corporation|Real Estate|Retail REITs|1969|2015-04-07|||||
ODFL|Old Dominion Freight Line|Industrials|Trucking|1934|2019-12-09|||||
ODP|Office Depot Inc.|||||2010-12-17||||
OI|Owens-Illinois|||||2000-12-05|2008-12-31|2016-12-02||
OKE|Oneok|Energy|Oil & Gas Storage & Transportation|1906|2010-03-15|||||
OMC|Omnicom Group|Communication Services|Advertising|1986||||||
ORCL|Oracle Corp.|Information Technology|Application Software|1977|1989-08-31|||||
ORLY|O'Reilly Automotive|Consumer Discretionary|Specialty Stores|1957|2009-03-27|||||
OTIS|Otis Worldwide|Industrials|Industrial Machinery|2020|2020-04-03|||||
OXY|Occidental Petroleum|Energy|Oil & Gas Exploration & Production|1920|1982-12-31|||||
PAYC|Paycom|Information Technology|Application Software|1998|2020-01-28|||||
PAYX|Paychex Inc.|Information Technology|Data Processing & Outsourced Services|1971||||||
PBCT|People's United Financial|Financials|Thrifts & Mortgage Finance|1842|2008-11-13|||||
PBI|Pitney Bowes Inc|||||2017-03-01||||
PCAR|Paccar|Industrials|Construction Machinery & Heavy Trucks|1905|1980-12-31|||||
PCG|PG&E Corp|||||2019-01-18||||
PCL|Plum Creek Timber|||||2016-02-22||||
PCLN|Priceline.com||||2009-11-03|||||
PCP|Precision Castparts Corp.|||||2016-02-01||||
PCS|MetroPCS|||||2013-04-30||||
PDCO|Patterson Companies|||||2018-03-19||||
PEAK|Healthpeak Properties|Real Estate|Health Care REITs|1985|2008-03-31|||||
PEG|Public Service Enterprise Group (PSEG)|Utilities|Electric Utilities|1903|1957-03-04|||||
PENN|Penn National Gaming|Consumer Discretionary|Casinos & Gaming|1972|2021-03-22|||||
PEP|PepsiCo Inc.|Consumer Staples|Soft Drinks|1898|1957-03-04|||||
PETM|PetSmart Inc.||||2012-10-10|2015-03-12||||
PFE|Pfizer Inc.|Health Care|Pharmaceuticals|1849|1957-03-04|||||
PFG|Principal Financial Group|Financials|Life & Health Insurance|1879|2002-07-22|||||
PG|Procter & Gamble|Consumer Staples|Personal Products|1837|1957-03-04|||||
PGN|Progress Energy Inc|||||2012-07-02||||
PGR|Progressive Corp.|Financials|Property & Casualty Insurance|1937|1997-08-04|||||
PH|Parker-Hannifin|Industrials|Industrial Machinery|1917|1985-11-30|||||
PHM|PulteGroup|Consumer Discretionary|Homebuilding|1956|1984-04-30|||||
PKG|Packaging Corporation of America|Materials|Paper Packaging|1959|2017-07-26|||||
PKI|PerkinElmer|Health Care|Health Care Equipment|1937|1985-05-31|||||
PLD|Prologis|Real Estate|Industrial REITs|1983|2003-07-17|||||
PLL|Pall Corp|||||2015-08-28||||
PM|Philip Morris International|Consumer Staples|Tobacco|2008|2008-03-31|||||
PNC|PNC Financial Services|Financials|Regional Banks|1845|1988-04-30|||||
PNR|Pentair plc|Industrials|Industrial Machinery|1966|2012-10-01|||||
PNW|Pinnacle West Capital|Utilities|Multi-Utilities|1985||||||
POM|Pepco Holdings Inc|||||2016-03-30||||
POOL|Pool Corporation|Consumer Discretionary|Distributors|1993|2020-10-07|||||
PPG|PPG Industries|Materials|Specialty Chemicals|1883|1957-03-04|||||
PPL|PPL Corp.|Utilities|Electric Utilities|1920||||||
PRGO|Perrigo|Health Care|Pharmaceuticals|2013|2011-12-19|||||
PRU|Prudential Financial|Financials|Life & Health Insurance|1875|2002-07-22|||||
PSA|Public Storage|Real Estate|Specialized REITs|1972|2005-08-19|||||
PSX|Phillips 66|Energy|Oil & Gas Refining & Marketing|2012|2012-05-01|||||
PTC|PTC Inc|Information Technology|Application Software|1985|2021-04-20|||||
PTV|Pactiv Corp.|||||2010-11-17||||
PVH|PVH Corp.|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1881|2013-02-15|||||
PWR|Quanta Services Inc.|Industrials|Construction & Engineering|1997|2009-07-01|||||
PXD|Pioneer Natural Resources|Energy|Oil & Gas Exploration & Production|1997|2008-09-24|||||
PYPL|PayPal|Information Technology|Data Processing & Outsourced Services|1998|2015-07-20|||||
Q|Qwest Communications|||||2011-03-31||||
Q|QuintilesIMS||||2017-08-29|||||
QCOM|Qualcomm|Information Technology|Semiconductors|1985||||||
QEP|QEP Resources||||2010-06-30|2015-07-01||||
QRVO|Qorvo|Information Technology|Semiconductors|2015|2015-06-11|||||
QTRN|Quintiles Transnational|||||2003-09-25||||
R|Ryder Systems Inc.|||||2017-06-19||||
RAD|RiteAid|||||2000-07-27||||
RAI|Reynolds American|||||2017-07-26||||
RCL|Royal Caribbean Group|Consumer Discretionary|Hotels, Resorts & Cruise Lines|1997|2014-12-05|||||
RDC|Rowan Companies plc|||||2014-08-18||||
RE|Everest Re Group Ltd.|Financials|Reinsurance|1973|2017-06-19|||||
REG|Regency Centers Corporation|Real Estate|Retail REITs|1963|2017-03-02|||||
REGN|Regeneron Pharmaceuticals|Health Care|Biotechnology|1988|2013-05-01|||||
RF|Regions Financial Corp.|Financials|Regional Banks|1971|1998-08-28|||||
RHI|Robert Half International|Industrials|Human Resource & Employment Services|1948|2000-12-05|||||
RHT|Red Hat|||||2019-07-15||||
RIG|Transocean||||2013-10-29|2017-07-26||||
RJF|Raymond James Financial|Financials|Investment Banking & Brokerage|1962|2017-03-20|||||
RL|Ralph Lauren Corporation|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1967|2007-02-02|||||
RMD|ResMed|Health Care|Health Care Equipment|1989|2017-07-26|||||
ROK|Rockwell Automation Inc.|Industrials|Electrical Components & Equipment|1903||||||
ROL|Rollins, Inc.|Industrials|Environmental & Facilities Services|1948|2018-10-01|||||
ROP|Roper Technologies|Industrials|Industrial Conglomerates|1981|2009-12-23|||||
ROST|Ross Stores|Consumer Discretionary|Apparel Retail|1982|2009-12-21|||||
RRC|Range Resources||||2007-12-20|2018-06-18||||
RRD|R.R. Donnelley|||||2012-12-11||||
RSG|Republic Services Inc|Industrials|Environmental & Facilities Services|1998|2008-12-05|||||
RSH|RadioShack Corp.|||||2011-06-30||||
RTN|Raytheon Company|||||2020-04-06||||
RTX|Raytheon Technologies|Industrials|Aerospace & Defense|1922||||||
RX|IMS Health|||||2010-02-26||||
S|Sprint Nextel Corp.|||||2013-07-08||||
SAI|SAIC|||||2013-09-20||||
SAIC|SAIC Inc.||||2009-12-18|||||
SBAC|SBA Communications|Real Estate|Specialized REITs|1989|2017-09-01|||||
SBL|Symbol Technologies||||2000-12-05|2007-01-10||||
SBUX|Starbucks Corp.|Consumer Discretionary|Restaurants|1971||||||
SCG|SCANA|||||2019-01-02||||
SCHW|Charles Schwab Corporation|Financials|Investment Banking & Brokerage|1971|1997-06-02|||||
SE|Spectra Energy Corp|||||2017-02-28||||
SEE|Sealed Air|Materials|Paper Packaging|1960|1957-03-04|||||
SGP|Schering-Plough Corp.|||||2009-11-03||||
SHLD|Sears Holding Corporation|||||2012-09-05||||
SHW|Sherwin-Williams|Materials|Specialty Chemicals|1866|1964-06-30|||||
SIAL|Sigma-Aldrich Corp|||||2015-11-19||||
SIG|Signet Jewelers||||2015-07-29|2018-03-19||||
SII|Smith International Inc.|||||2010-08-26||||
SIVB|SVB Financial|Financials|Regional Banks|1983|2018-03-19|||||
SJM|JM Smucker|Consumer Staples|Packaged Foods & Meats|1897|2008-11-06|||||
SLB|Schlumberger Ltd.|Energy|Oil & Gas Equipment & Services|1926|1965-03-31|||||
SLE|Sara Lee Corp.|||||2012-06-29||||
SLG|SL Green Realty||||2015-03-23|2021-03-22||||
SLM|SLM Corporation|||||2014-05-01||||
SLR|Solectron|||||2007-10-02||||
SNA|Snap-on|Industrials|Industrial Machinery|1920|1982-09-30|||||
SNDK|SanDisk Corporation|||||2016-05-13||||
SNI|Scripps Networks Interactive|||||2018-03-07||||
SNPS|Synopsys Inc.|Information Technology|Application Software|1986|2017-03-16|||||
SO|Southern Company|Utilities|Electric Utilities|1945|1957-03-04|||||
SPG|Simon Property Group Inc|Real Estate|Retail REITs|2003|2002-06-26|||||
SPGI|S&P Global Inc.|Financials|Financial Exchanges & Data|1917||||||
SPLS|Staples Inc.|||||2017-09-18||||
SRCL|Stericycle|||||2018-12-03||||
SRE|Sempra Energy|Utilities|Multi-Utilities|1998||||||
STE|Steris|Health Care|Health Care Equipment|1985|2019-12-23|||||
STI|SunTrust Banks|||||2019-12-09||||
STJ|St. Jude Medical|||||2017-01-05||||
STR|Questar|||||2010-06-30||||
STT|State Street Corp.|Financials|Asset Management & Custody Banks|1792||||||
STX|Seagate Technology|Information Technology|Technology Hardware, Storage & Peripherals|1979|2012-07-02|||||
STZ|Constellation Brands|Consumer Staples|Distillers & Vintners|1945|2005-07-01|||||
SUN|Sunoco Inc.|||||2012-10-10||||
SVU|Supervalu Inc.|||||2012-04-23||||
SWK|Stanley Black & Decker|Industrials|Industrial Machinery|1843|1982-09-30|||||
SWKS|Skyworks Solutions|Information Technology|Semiconductors|2002|2015-03-12|||||
SWN|Southwestern Energy|||||2017-04-04||||
SWY|Safeway Inc|||||2015-01-27||||
SYF|Synchrony Financial|Financials|Consumer Finance|2003|2015-11-18|||||
SYK|Stryker Corp.|Health Care|Health Care Equipment|1941|2000-12-12|||||
SYY|Sysco Corp.|Consumer Staples|Food Distributors|1969|1986-12-31|||||
T|AT&T Inc.|Communication Services|Integrated Telecommunication Services|1983|1983-11-30|||||
TAP|Molson Coors Beverage Company|Consumer Staples|Brewers|2005|1976-06-30|||||
TDC|Teradata Corp.||||2007-10-01|2017-06-19||||
TDG|TransDigm Group|Industrials|Aerospace & Defense|1993|2016-06-03|||||
TDY|Teledyne Technologies|Industrials|Aerospace & Defense|1960|2020-06-22|||||
TE|TECO Energy|||||2016-07-01||||
TEG|Integrys Energy Group Inc.|||||2015-07-01||||
TEL|TE Connectivity Ltd.|Information Technology|Electronic Manufacturing Services|2007|2011-10-17|||||
TER|Teradyne|Information Technology|Semiconductor Equipment|1960||2013-12-23|2020-09-21|||
TFC|Truist Financial|Financials|Regional Banks|1872|1997-12-04|||||
TFX|Teleflex|Health Care|Health Care Equipment|1943|2019-01-18|||||
TGNA|Tegna, Inc.|||||2017-06-02||||
TGT|Target Corp.|Consumer Discretionary|General Merchandise Stores|1902|1976-12-31|||||
THC|Tenet Healthcare|||||2016-04-18||||
TIE|Titanium Metals|||||2012-12-21||||
TIF|Tiffany & Co.|||||2021-01-07||||
TJX|TJX Companies Inc.|Consumer Discretionary|Apparel Retail|1987|1985-09-30|||||
TLAB|Tellabs Inc.|||||2011-12-20||||
TMO|Thermo Fisher Scientific|Health Care|Life Sciences Tools & Services|2006|2004-08-03|||||
TMUS|T-Mobile US|Communication Services|Wireless Telecommunication Services|1994|2019-07-15|||||
TPR|Tapestry, Inc.|Consumer Discretionary|Apparel, Accessories & Luxury Goods|2017||||||
TRB|Tribune Co.|||||2007-12-20||||
TRIP|TripAdvisor||||2011-12-20|2019-12-23||||
TRMB|Trimble Inc.|Information Technology|Electronic Equipment & Instruments|1978|2021-01-21|||||
TROW|T. Rowe Price Group|Financials|Asset Management & Custody Banks|1937||||||
TRV|The Travelers Companies|Financials|Property & Casualty Insurance|1853|2002-08-21|||||
TSCO|Tractor Supply Company|Consumer Discretionary|Specialty Stores|1938|2014-01-24|||||
TSG|Sabre Holdings|||||2007-03-30||||
TSLA|Tesla, Inc.|Consumer Discretionary|Automobile Manufacturers|2003|2020-12-21|||||
TSN|Tyson Foods|Consumer Staples|Packaged Foods & Meats|1935||||||
TSO|Tesoro Corp.||||2007-09-27|||||
TSS|TSYS|||||2019-09-23||||
TT|Trane Technologies plc|Industrials|Building Products|1871|2010-11-17|||||
TTWO|Take-Two Interactive|Communication Services|Interactive Home Entertainment|1993|2018-03-19|||||
TWC|Time Warner Cable|||||2016-05-18||||
TWTR|Twitter, Inc.|Communication Services|Interactive Media & Services|2006|2018-06-07|||||
TWX|Time Warner|||||2018-06-20||||
TXN|Texas Instruments|Information Technology|Semiconductors|1930||||||
TXT|Textron Inc.|Industrials|Aerospace & Defense|1923|1978-12-31|||||
TYL|Tyler Technologies|Information Technology|Application Software|1966|2020-06-22|||||
UA|Under Armour (Class C)|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1996|2016-04-08|||||
UAA|Under Armour (Class A)|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1996|2014-05-01|||||
UAL|United Airlines Holdings|Industrials|Airlines|1967|2015-09-03|||||
UDR|UDR, Inc.|Real Estate|Residential REITs|1972|2016-03-07|||||
UHS|Universal Health Services|Health Care|Health Care Facilities|1979|2014-09-20|||||
ULTA|Ulta Beauty|Consumer Discretionary|Specialty Stores|1990|2016-04-18|||||
UNH|UnitedHealth Group Inc.|Health Care|Managed Health Care|1977|1994-07-01|||||
UNM|Unum Group|Financials|Life & Health Insurance|1999|1994-03-01|||||
UNP|Union Pacific Corp|Industrials|Railroads|1862|1957-03-04|||||
UPS|United Parcel Service|Industrials|Air Freight & Logistics|1907|2002-07-22|||||
URBN|Urban Outfitters|||||2017-03-20||||
URI|United Rentals, Inc.|Industrials|Trading Companies & Distributors|1997|2014-09-20|||||
USB|U.S. Bancorp|Financials|Diversified Banks|1968||||||
V|Visa Inc.|Information Technology|Data Processing & Outsourced Services|1958|2009-12-21|||||
VAR|Varian Medical Systems|||||2021-04-20||||
VFC|VF Corporation|Consumer Discretionary|Apparel, Accessories & Luxury Goods|1899|1979-06-30|||||
VIAB|Viacom|||||2019-12-05||||
VIAC|ViacomCBS|Communication Services|Movies & Entertainment|2019||||||
VLO|Valero Energy|Energy|Oil & Gas Refining & Marketing|1980||||||
VMC|Vulcan Materials|Materials|Construction Materials|1909|1999-06-30|||||
VNO|Vornado Realty Trust|Real Estate|Office REITs|1982||||||
VNT|Vontier||||2020-10-09|2021-03-22||||
VRSK|Verisk Analytics|Industrials|Research & Consulting Services|1971|2015-10-08|||||
VRSN|Verisign Inc.|Information Technology|Internet Services & Infrastructure|1995|2006-02-01|||||
VRTX|Vertex Pharmaceuticals Inc|Health Care|Biotechnology|1989|2013-09-23|||||
VTR|Ventas Inc|Real Estate|Health Care REITs|1998|2009-03-04|||||
VTRS|Viatris|Health Care|Pharmaceuticals|1961|2004-04-23|||||
VZ|Verizon Communications|Communication Services|Integrated Telecommunication Services|1983|1983-11-30|||||
WAB|Westinghouse Air Brake Technologies Corp|Industrials|Construction Machinery & Heavy Trucks|1999|2019-02-27|||||
WAT|Waters Corporation|Health Care|Health Care Distributors|1958||||||
WB|Wachovia Bank|||||2008-12-31||||
WBA|Walgreens Boots Alliance|Consumer Staples|Drug Retail|2014|1979-12-31|||||
WCG|WellCare||||2018-09-14|2020-01-28||||
WDC|Western Digital|Information Technology|Technology Hardware, Storage & Peripherals|1970|2009-07-01|||||
WEC|WEC Energy Group|Utilities|Electric Utilities|1896|2008-10-31|||||
WELL|Welltower Inc.|Real Estate|Health Care REITs|1970|2009-01-30|||||
WFC|Wells Fargo|Financials|Diversified Banks|1852|1976-06-30|||||
WFM|Whole Foods Market|||||2017-08-29||||
WFR|MEMC Electronic Materials Inc.|||||2011-12-16||||
WHR|Whirlpool Corp.|Consumer Discretionary|Household Appliances|1911||||||
WIN|Windstream Holdings Inc|||||2015-04-07||||
WLTW|Willis Towers Watson|Financials|Insurance Brokers|2016|2016-01-05|||||
WM|Waste Management Inc.|Industrials|Environmental & Facilities Services|1968||||||
WMB|Williams Companies|Energy|Oil & Gas Storage & Transportation|1908|1975-03-31|||||
WMT|Walmart|Consumer Staples|Hypermarkets & Super Centers|1962|1982-08-31|||||
WPX|WPX Energy, Inc.||||2011-12-31|2014-03-21||||
WRB|W. R. Berkley Corporation|Financials|Property & Casualty Insurance|1967|2019-12-05|||||
WRK|WestRock|Materials|Paper Packaging|2015||||||
WST|West Pharmaceutical Services|Health Care|Health Care Supplies|1923|2020-05-22|||||
WU|Western Union Co|Information Technology|Data Processing & Outsourced Services|1851|2006-09-29|||||
WY|Weyerhaeuser|Real Estate|Specialized REITs|1900||||||
WYN|Wyndham Worldwide|||||2018-05-31||||
WYNN|Wynn Resorts Ltd|Consumer Discretionary|Casinos & Gaming|2002|2008-11-14|||||
X|United States Steel Corporation|||||2014-07-02||||
XEC|Cimarex Energy||||2014-06-20|2020-03-03||||
XEL|Xcel Energy Inc|Utilities|Multi-Utilities|1909|1957-03-04|||||
XL|XL Group|||||2018-09-14||||
XLNX|Xilinx|Information Technology|Semiconductors|1984|1999-11-08|||||
XOM|Exxon Mobil Corp.|Energy|Integrated Oil & Gas|1999|1957-03-04|||||
XRAY|Dentsply Sirona|Health Care|Health Care Supplies|2016|2008-11-14|||||
XRX|Xerox|||||2021-03-22||||
XTO|XTO Energy Inc.|||||2010-06-28||||
XYL|Xylem Inc.|Industrials|Industrial Machinery|2011|2011-11-01|||||
YHOO|Yahoo! Inc.||||1999-12-07|2017-06-19||||
YUM|Yum! Brands Inc|Consumer Discretionary|Restaurants|1997|1997-10-06|||||
ZBH|Zimmer Biomet|Health Care|Health Care Equipment|1927|2001-08-07|||||
ZBRA|Zebra Technologies|Information Technology|Electronic Equipment & Instruments|1969|2019-12-23|||||
ZION|Zions Bancorp|Financials|Regional Banks|1873|2001-06-22|||||
ZTS|Zoetis|Health Care|Pharmaceuticals|1952|2013-06-21|||||
